Qty,Value,Package,Parts,Anmerkung,Lieferant,Bestellartikel,Artikelpreis,VPE,Postenpreis
1,,Platine out6-cs-base,,,,,,,
1,,,EIB-Steckeraufnahme,3D-Druck (wenn Einlötstifte P1 verwendet),,,,,
1,,Gehäuse,,,Reichelt,HUT 6-C,"5,9",1,"5,9"
1,,KLEMME2POL5_08,X7,Oder P1 bestücken (Einlötstifte),Oldis Shop,Anschlußklemme 2 polig,"0,32",1,"0,32"
1,,"Wannenstecker 2x5pol 2,54mm",P2,,Reichelt,WSL 10G,"0,09",1,"0,09"
1,,"Pfostenbuchse 2x5pol 2,54mm",,,Reichelt,PFL 10,"0,09",1,"0,09"
1,SMAJ40CA,SMB,D1,,Oldis Shop,SMAJ 40 AC Überspannungsdiode,"0,2",1,"0,2"
2,,"Elko radial D12,5mm H20mm","C1, C2","Evtl passt auch RAD 1.000/35, mir wurden kürzere als in den technischen Daten geliefert",Reichelt,RAD FR 1.000/35,"0,65",1,"1,3"
2,10k,R0805,"R3, R5",,Reichelt,"SMD-0805 10,0K","0,03",1,"0,06"
2,74HC595D,,"IC1, IC2",,Reichelt,SMD HC 595,"0,2",1,"0,4"
2,EIB,Einlötstifte für die EIB-Busklemme,P1,"17,5mm lange, 1mm dicke Einlötstifte (oder X7 bestücken)",Conrad,1226206,"3,1",100,"0,062"
2,ULN2803ADW,SO18W,"IC3, IC4",,Reichelt,ULN 2803 D,"0,4",1,"0,8"
3,,"42mm Draht 1,0 bis 1,3mm Durchmesser",,zur Fixierung der Ctrl-Platine auf der Base-Platine,,,,,
3,22p,C0805,"C7, C8, C10",,Reichelt,NPO-G0805 22P,"0,04",1,"0,12"
3,100R,R0805,"R1, R2, R4",,Reichelt,SMD-0805 100,"0,03",1,"0,09"
3,SE1.5,"42mm PVC-Aderleitung 1,5mm² H07V-U","P3, P4, P5",,Reichelt,"H07VU 1,5-25 SW","6,35",595,"0,032016806722689"
5,100n,C0805,"C3, C4, C5, C6, C9",,Reichelt,X7R-G0805 100N,"0,04",1,"0,2"
6,,"64mm PVC-Aderleitung 1,5mm² H07V-U","J1, J2, J3, J4, J5, J6",beidseitig je 6mm abisolieren,Reichelt,"H07VU 1,5-25 SW","6,35",390,"0,097692307692308"
6,,52mm Isolierschlauch Innen-D 3mm,"J1, J2, J3, J4, J5, J6","Alternativartikel: 541594, 549957",Conrad,540836,"0,6",19,"0,189473684210526"
6,,KLEMME3POL5_08,"X1, X2, X3, X4, X5, X6",,Oldis Shop,Anschlußklemme 3polig,"0,48",1,"2,88"
6,HFE10,Hong-Fa HFE10-2-12-HT-L2,"K1, K2, K3, K4, K5, K6",Relais,Aliexpress,HFE10-2-12-HT-L2,4,1,24
