Qty,Value,Package,Parts,Anmerkung,Lieferant,Bestellartikel,Artikelpreis,VPE,Postenpreis
1,,B3F-10XX_SMD,S1,OMRON SWITCH,Reichelt,TASTER 9315,"0,15",1,"0,15"
5,,JP1,"JP1, JP2, JP4, JP5, JP6",JUMPER,Reichelt,MPE 087-1-002,"0,05",1,"0,25"
1,rot,1206,LED7,LED rot,Reichelt,LED EL 1206 RT,"0,1",1,"0,1"
6,grün,1206,"LED1, LED2, LED3, LED4, LED5, LED6",LED grün,Reichelt,LED EL 1206 GR2,"0,12",1,"0,72"
1,,2X10/90,P4,PIN HEADER,Reichelt,"SL 2X10W 2,54","0,18",1,"0,18"
2,100k,R0805M,"R3, R15","RESISTOR, European symbol",Reichelt,SMD-0805 100K,"0,03",1,"0,06"
8,100n,R0805M,"C3, C7, C8, C10, C11, C12, C13, C19","CAPACITOR, European symbol",Reichelt,X7R-G0805 100N,"0,04",1,"0,32"
1,100p,R0805M,C18,"CAPACITOR, European symbol",Reichelt,NPO-G0805 100P,"0,04",1,"0,04"
3,10n,R0805M,"C1, C2, C9","CAPACITOR, European symbol",Reichelt,X7R-G0805 10N,"0,04",1,"0,12"
1,120k,R0805M,R5,"RESISTOR, European symbol",Reichelt,SMD-0805 120K,"0,03",1,"0,03"
2,1k,R0805M,"R25, R26","RESISTOR, European symbol",Reichelt,"SMD-0805 1,00K","0,03",1,"0,06"
10,1k5,R0805M,"R6, R12, R13, R14, R16, R18, R23, R24, R27, R28","RESISTOR, European symbol",Reichelt,"SMD-0805 1,50K","0,03",1,"0,3"
2,1u0,R0805M,"C5, C6","CAPACITOR, European symbol",Reichelt,"KEM X7R0805A1,0U","0,06",1,"0,12"
1,220p,R0805M,C22,"CAPACITOR, European symbol",Reichelt,NPO 0805 BF 220P,"0,02",1,"0,02"
3,24k,R0805M,"R8, R9, R11","RESISTOR, European symbol",Reichelt,RND 0805 1 24K,"0,02",1,"0,06"
0,32005-201,32005-201,X3,MINI USB-B Conector (wahlweise anstatt der normalen USB-B),Reichelt,LUM 2486-01,"1,4",1,0
5,330R,R0805M,"R10, R19, R20, R21, R22","RESISTOR, European symbol",Reichelt,SMD-0805 330,"0,03",1,"0,15"
2,33R,R0805M,"R1, R2","RESISTOR, European symbol",Reichelt,"SMD-0805 33,0","0,03",1,"0,06"
1,3k,R0805M,R7,"RESISTOR, European symbol",Reichelt,"RND 0805 1 3,0K","0,02",1,"0,02"
1,68k,R0805M,R4,"RESISTOR, European symbol",Reichelt,"SMD-0805 68,0K","0,03",1,"0,03"
1,BC857,SOT23-BEC,Q1,PNP Transistror,Reichelt,BC 857B SMD,"0,02",1,"0,02"
2,H11L1M,DIL06S,"OK1, OK2",6-Pin DIP Optocoupler,Reichelt,H11L1M,"0,48",1,"0,96"
2,ISP,2X05M,"P1, P2",PIN HEADER,Reichelt,MPE 150-3-010,"0,2",1,"0,4"
1,ISP USR-uC,2X05M,P3,PIN HEADER,Reichelt,"WL 2X05G 2,00","0,28",1,"0,28"
1,LP2951CM,SO08,IC1,"100 mA, Low Power Low Dropout Voltage Regulator",Reichelt,LP 2951 CM,"0,67",1,"0,67"
1,LPC11U24FBD48/401,LQFP48,U1,LPC11U24FBD48/401,"Conrad, Farnell, RS-Components, Mouser, Digikey",,"2,5",1,"2,5"
1,PN61729-S,PN61729-S,X2,BERG USB connector,Reichelt,LUM 2411-02,"0,64",1,"0,64"
1,XO32 12MHz,ASF,U3,CRYSTAL CLOCK OSCILLATORS,Reichelt,"XO32 12,00000","1,3",1,"1,3"
2,,,"Pfostenbuchse 2x5pol 2,0mm",ohne Zugentlastung,Reichelt,"PL 2X05G 2,00","0,4",1,"0,8"
1,,,"Flachbandkabel 10pol RM1,00",zum Verbinden von TS-ARM mit USB-If,Oldi's Shop,,,,
1,,,"TS-ARM, bestückt",,,,,,
1,,,"Buchsenleiste, 2x10pol, 2,54mm","angelötet an TS-ARM (auch möglich: Stecker an TS-ARM, gewinkelte Buchse auf USB-If)",Reichelt,"BL 2X10G8 2,54","0,24",1,"0,24"
1,,,Platine USB-Interface,,,,,,
1,,,Gehäuse Hammond 1591-A,Platine muss in den Ecken bearbeitet werden,Reichelt,1591XXABK,"3,5",1,"3,5"
